2025-03-20 15:48:31 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-03-20 15:48:31 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name customUserService
2025-03-20 15:48:33 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-03-20 15:48:33 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-03-20 15:48:33 [main] INFO  o.e.d.DockerDbExampleApplication - Started DockerDbExampleApplication in 8.062 seconds (process running for 9.462)
2025-03-20 16:06:52 [main] INFO  o.e.d.service.UserService - Поиск пользователя по номеру телефона: 1234567890
2025-03-20 16:06:52 [main] INFO  o.e.d.service.UserService - Пользователь найден: 1234567890
2025-03-20 16:06:52 [main] INFO  o.e.d.service.UserService - Обновление данных пользователя: 1234567890
2025-03-20 16:06:52 [main] INFO  o.e.d.service.UserService - Пользователь 1234567890 обновлен
2025-03-20 16:06:52 [main] INFO  o.e.d.service.UserService - Получение списка топ-10 пользователей
2025-03-20 16:06:52 [main] INFO  o.e.d.service.UserService - Топ-10 пользователей загружены (2 пользователей)
2025-03-20 16:06:52 [main] INFO  o.e.d.service.UserService - Регистрация нового пользователя: 1234567890
2025-03-20 16:06:52 [main] ERROR o.e.d.service.UserService - Пароли не совпадают для пользователя: 1234567890
2025-03-20 16:06:52 [main] INFO  o.e.d.service.UserService - Регистрация нового пользователя: 1234567890
2025-03-20 16:06:52 [main] INFO  o.e.d.service.UserService - Пользователь успешно зарегистрирован: 1234567890
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Начало генерации случайного чека
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Выбор 4 случайных товаров из списка
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Выбрано 4 товаров
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Начало расчета бонусов для чека Receipt(id=null, carbonFootprint=null, bonus=null, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=4, recommendation=null, receipts=null)])
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Расчет бонусов завершен. Итоговая сумма: 0
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Расчет углеродного следа для чека Receipt(id=null, carbonFootprint=null, bonus=0, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=4, recommendation=null, receipts=null)])
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Углеродный след рассчитан: 0.0
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Генерация случайной даты за последний год
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Сгенерирована дата: 2024-07-12
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Чек создан. Бонус: 0, Углеродный след: 0.0
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Начало генерации списка чеков
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Начало генерации случайного чека
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Выбор 5 случайных товаров из списка
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Выбрано 5 товаров
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Начало расчета бонусов для чека Receipt(id=null, carbonFootprint=null, bonus=null, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=1, recommendation=null, receipts=null)])
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Расчет бонусов завершен. Итоговая сумма: 0
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Расчет углеродного следа для чека Receipt(id=null, carbonFootprint=null, bonus=0, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=1, recommendation=null, receipts=null)])
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Углеродный след рассчитан: 0.0
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Генерация случайной даты за последний год
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Сгенерирована дата: 2024-05-22
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Чек создан. Бонус: 0, Углеродный след: 0.0
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Начало генерации случайного чека
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Выбор 7 случайных товаров из списка
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Выбрано 7 товаров
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Начало расчета бонусов для чека Receipt(id=null, carbonFootprint=null, bonus=null, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=2, recommendation=null, receipts=null)])
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Расчет бонусов завершен. Итоговая сумма: 0
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Расчет углеродного следа для чека Receipt(id=null, carbonFootprint=null, bonus=0, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=2, recommendation=null, receipts=null)])
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Углеродный след рассчитан: 0.0
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Генерация случайной даты за последний год
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Сгенерирована дата: 2025-03-20
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Чек создан. Бонус: 0, Углеродный след: 0.0
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Начало генерации случайного чека
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Выбор 2 случайных товаров из списка
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Выбрано 2 товаров
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Начало расчета бонусов для чека Receipt(id=null, carbonFootprint=null, bonus=null, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=3, recommendation=null, receipts=null)])
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Расчет бонусов завершен. Итоговая сумма: 0
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Расчет углеродного следа для чека Receipt(id=null, carbonFootprint=null, bonus=0, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=3, recommendation=null, receipts=null)])
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Углеродный след рассчитан: 0.0
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Генерация случайной даты за последний год
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Сгенерирована дата: 2024-10-06
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Чек создан. Бонус: 0, Углеродный след: 0.0
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Начало генерации случайного чека
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Выбор 1 случайных товаров из списка
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Выбрано 1 товаров
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Начало расчета бонусов для чека Receipt(id=null, carbonFootprint=null, bonus=null, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=3, recommendation=null, receipts=null)])
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Расчет бонусов завершен. Итоговая сумма: 0
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Расчет углеродного следа для чека Receipt(id=null, carbonFootprint=null, bonus=0, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=3, recommendation=null, receipts=null)])
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Углеродный след рассчитан: 0.0
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Генерация случайной даты за последний год
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Сгенерирована дата: 2024-09-06
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Чек создан. Бонус: 0, Углеродный след: 0.0
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Начало генерации случайного чека
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Выбор 7 случайных товаров из списка
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Выбрано 7 товаров
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Начало расчета бонусов для чека Receipt(id=null, carbonFootprint=null, bonus=null, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=1, recommendation=null, receipts=null)])
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Расчет бонусов завершен. Итоговая сумма: 0
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Расчет углеродного следа для чека Receipt(id=null, carbonFootprint=null, bonus=0, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=1, recommendation=null, receipts=null)])
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Углеродный след рассчитан: 0.0
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Генерация случайной даты за последний год
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Сгенерирована дата: 2024-07-31
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Чек создан. Бонус: 0, Углеродный след: 0.0
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Начало генерации случайного чека
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Выбор 8 случайных товаров из списка
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Выбрано 8 товаров
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Начало расчета бонусов для чека Receipt(id=null, carbonFootprint=null, bonus=null, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=1, recommendation=null, receipts=null)])
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Расчет бонусов завершен. Итоговая сумма: 0
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Расчет углеродного следа для чека Receipt(id=null, carbonFootprint=null, bonus=0, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=1, recommendation=null, receipts=null)])
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Углеродный след рассчитан: 0.0
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Генерация случайной даты за последний год
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Сгенерирована дата: 2024-11-19
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Чек создан. Бонус: 0, Углеродный след: 0.0
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Начало генерации случайного чека
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Выбор 2 случайных товаров из списка
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Выбрано 2 товаров
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Начало расчета бонусов для чека Receipt(id=null, carbonFootprint=null, bonus=null, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=3, recommendation=null, receipts=null)])
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Расчет бонусов завершен. Итоговая сумма: 0
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Расчет углеродного следа для чека Receipt(id=null, carbonFootprint=null, bonus=0, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=3, recommendation=null, receipts=null)])
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Углеродный след рассчитан: 0.0
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Генерация случайной даты за последний год
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Сгенерирована дата: 2025-03-20
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Чек создан. Бонус: 0, Углеродный след: 0.0
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Начало генерации случайного чека
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Выбор 1 случайных товаров из списка
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Выбрано 1 товаров
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Начало расчета бонусов для чека Receipt(id=null, carbonFootprint=null, bonus=null, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=1, recommendation=null, receipts=null)])
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Расчет бонусов завершен. Итоговая сумма: 0
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Расчет углеродного следа для чека Receipt(id=null, carbonFootprint=null, bonus=0, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=1, recommendation=null, receipts=null)])
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Углеродный след рассчитан: 0.0
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Генерация случайной даты за последний год
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Сгенерирована дата: 2024-11-05
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Чек создан. Бонус: 0, Углеродный след: 0.0
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Начало генерации случайного чека
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Выбор 7 случайных товаров из списка
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Выбрано 7 товаров
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Начало расчета бонусов для чека Receipt(id=null, carbonFootprint=null, bonus=null, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=2, recommendation=null, receipts=null)])
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Расчет бонусов завершен. Итоговая сумма: 0
